feature,importance
text_535,0.004133491
text_274,0.0041281143
text_680,0.0041259895
text_173,0.004108924
text_478,0.004106601
text_378,0.004099411
text_442,0.0040825265
text_521,0.0040588593
text_746,0.0040564155
text_405,0.0040510567
text_272,0.004033444
text_382,0.004025739
text_134,0.004021015
text_486,0.0039949976
text_321,0.0039913487
text_99,0.0039830045
text_195,0.0039757844
text_577,0.003944385
text_230,0.0039416016
text_434,0.0039284835
text_65,0.003926619
text_19,0.003921943
text_691,0.003911182
text_84,0.0039037396
text_683,0.0038852838
text_581,0.0038830987
text_391,0.0038821618
text_694,0.0038769727
text_470,0.0038751701
text_215,0.0038693286
text_42,0.0038520521
text_31,0.003835908
text_580,0.0038322199
text_567,0.003816679
text_547,0.0038113953
text_628,0.0038024685
text_720,0.0037991786
text_50,0.0037902778
text_233,0.0037822027
text_606,0.0037712532
text_166,0.0037616661
text_625,0.0037600808
text_436,0.0037518358
text_464,0.0037493703
text_261,0.0037272533
text_634,0.0037235187
text_387,0.0037221573
text_498,0.0037205662
text_700,0.0036999867
text_599,0.0036621562
text_639,0.0036602379
text_518,0.0036484178
text_300,0.0036267908
text_572,0.0036267652
text_78,0.0036123714
text_179,0.0036085818
text_496,0.0036013508
text_616,0.0035942036
text_560,0.0035790468
text_128,0.0035479227
text_701,0.0035380535
text_401,0.00348581
text_85,0.003483999
text_254,0.003471065
text_429,0.0034644674
text_668,0.0034521457
text_647,0.0034520866
text_352,0.0034186689
text_491,0.0033878922
text_540,0.003375262
text_102,0.0033646137
text_360,0.003363697
text_423,0.0033584572
text_712,0.0033415894
text_52,0.0033372191
text_310,0.0033196623
text_444,0.0033106362
text_650,0.0033105735
text_362,0.0033005925
text_490,0.0032996968
text_511,0.0032794522
text_193,0.0032642325
text_91,0.0032394337
text_70,0.0032252301
text_452,0.0032236965
text_188,0.0032219929
text_697,0.0032185365
text_766,0.00319168
text_600,0.0031817234
text_568,0.0031713566
text_495,0.0031597058
text_357,0.003143431
text_220,0.0031228086
text_111,0.0031071058
text_534,0.0030988953
text_620,0.0030867313
text_411,0.0030804868
text_488,0.003076425
text_278,0.0030428837
text_339,0.0030342552
text_583,0.00302581
text_546,0.0030250403
text_365,0.0030087938
text_689,0.002987684
text_177,0.002969612
text_165,0.0029668005
text_146,0.0029440564
text_458,0.0029433458
text_483,0.0029188087
text_282,0.0029147635
text_190,0.002912597
text_140,0.0029123665
text_653,0.0029119104
text_153,0.0029033741
text_54,0.0029023364
text_12,0.0029004326
text_455,0.002887813
text_122,0.0028877887
text_751,0.0028774128
text_402,0.002871893
text_631,0.002834823
text_635,0.0028318795
text_448,0.0028018707
text_303,0.0028005047
text_742,0.002797389
text_0,0.0027940597
text_467,0.0027939938
text_575,0.0027697778
text_489,0.0027534766
text_48,0.002751733
text_409,0.002733155
text_759,0.002724862
text_537,0.0027176864
text_430,0.0027017908
text_472,0.0026986678
text_294,0.0026834046
text_171,0.0026707898
text_398,0.0026512751
text_161,0.0026339577
text_64,0.0026336384
text_528,0.0026090438
text_698,0.0026058455
text_624,0.0026035295
text_67,0.0025957115
text_207,0.0025801486
text_36,0.002578252
text_299,0.0025730268
text_750,0.0025697974
text_59,0.0025415318
text_47,0.0025169353
text_224,0.0025168597
text_724,0.0025115348
text_729,0.00250774
text_730,0.002507248
text_115,0.0025014589
text_526,0.0024965475
text_197,0.0024933838
text_89,0.0024798748
text_530,0.0024782938
text_313,0.002474589
text_118,0.0024586527
text_591,0.0024372798
text_586,0.0024271617
text_81,0.0024168405
text_66,0.0024154363
text_86,0.0023861611
text_109,0.0023640436
text_479,0.0023634483
text_419,0.0023455229
text_501,0.0023448453
text_292,0.0023386101
text_425,0.002337877
text_738,0.002315391
text_421,0.0022938182
text_716,0.0022848377
text_311,0.00226615
text_657,0.0022521692
text_174,0.0022432373
text_25,0.002235662
text_403,0.002226976
text_473,0.002222536
text_37,0.0022086394
text_745,0.0021969527
text_290,0.0021899538
text_449,0.0021853438
text_142,0.0021806676
text_260,0.002172423
text_684,0.0021636835
text_154,0.0021573922
text_482,0.0021563282
text_563,0.002143977
text_248,0.0021404186
text_740,0.0021379401
text_275,0.0021373713
text_336,0.0021248232
text_178,0.0021219065
text_10,0.0021180888
text_121,0.0020994022
text_607,0.0020795143
text_88,0.0020733008
text_705,0.00205439
text_702,0.0020383692
text_127,0.0020382928
text_655,0.0020273274
text_611,0.0020261006
text_289,0.0020182668
text_592,0.0020068719
text_45,0.0020057221
text_73,0.0019952143
text_661,0.001967763
text_374,0.0019646385
text_373,0.0019456788
