feature,importance
text_760,0.00012636781
text_544,0.00012587983
text_81,0.00012492294
text_27,0.00012452068
text_66,0.00012374947
text_609,0.0001229497
text_69,0.00012248626
text_85,0.000121071505
text_704,0.00012056004
text_257,0.000113762115
text_146,0.00011221913
text_282,0.00010793315
text_280,0.000107836844
text_645,0.00010501023
text_358,0.00010035902
text_574,9.482355e-05
text_744,9.3196744e-05
text_644,9.239747e-05
text_614,9.155715e-05
text_127,9.01044e-05
text_492,8.9234e-05
text_602,8.8221626e-05
text_379,7.3432086e-05
text_549,5.809243e-05
text_362,5.4224187e-05
text_541,4.2897962e-05
text_256,3.3829798e-05
text_73,2.5245823e-05
